TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF DEC 29, 2014 (B)",Chipotle Mexican Grill : General Promotion - QSR,200.5,0,0,0,0,0,0,0,200.5
"WEEK OF JAN 26, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,194,0,0,0,0,0,0,0,194
"WEEK OF FEB 23, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,272.3,0,0,0,0,0,0,0,272.3
"WEEK OF MAR 30, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,1269.2,0,0,0,0,0,0,137,1132.3
"WEEK OF APR 06, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,191.8,0,0,0,0,0,0,191.8,0
"WEEK OF APR 13, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,663.7,0,0,0,471.9,0,0,191.8,0
"WEEK OF APR 20, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,191.8,0,0,0,0,0,0,191.8,0
"WEEK OF APR 27, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,1980.5,0,0,0,1021.4,0,0,223.7,735.5
"WEEK OF MAY 04, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,471.1,0,0,0,204.9,0,0,266.2,0
"WEEK OF MAY 11, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,266.2,0,0,0,0,0,0,266.2,0
"WEEK OF MAY 18, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,509.1,0,0,0,242.9,0,0,266.2,0
"WEEK OF MAY 25, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,266.2,0,0,0,0,0,0,266.2,0
"WEEK OF JUN 01, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,1644.1,0,0,0,832.6,0,0,164.2,647.3
"WEEK OF JUN 08, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,164.2,0,0,0,0,0,0,164.2,0
"WEEK OF JUN 15, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,164.2,0,0,0,0,0,0,164.2,0
"WEEK OF JUN 22, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,501.5,0,0,0,337.3,0,0,164.2,0
"WEEK OF JUN 29, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,464.6,0,0,0,0,0,0,52.7,412
"WEEK OF JUL 06, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,8,0,0,0,0,0,0,8,0
"WEEK OF JUL 13, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,8,0,0,0,0,0,0,8,0
"WEEK OF JUL 20, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,8,0,0,0,0,0,0,8,0
"WEEK OF JUL 20, 2015 (B)",Chipotle Mexican Grill : Legal Messages,0.3,0,0,0,0,0,0.3,0,0
"WEEK OF JUL 20, 2015 (B)",Chipotle MLS Homegrown Game : Sponsored Event,34.9,0,0,0,0,0,34.9,0,0
"WEEK OF JUL 27, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,873.1,0,0,0,0,0,0,9,864.1
"WEEK OF AUG 03, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,11.5,0,0,0,0,0,0,11.5,0
"WEEK OF AUG 10, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,11.5,0,0,0,0,0,0,11.5,0
"WEEK OF AUG 17, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,11.5,0,0,0,0,0,0,11.5,0
"WEEK OF AUG 24, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,11.5,0,0,0,0,0,0,11.5,0
"WEEK OF AUG 31, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,1695.4,0,0,0,0,0,0,216.6,1478.8
"WEEK OF SEP 07, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,473,0,0,0,222.2,0,0,250.8,0
"WEEK OF SEP 14, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,510.2,0,0,0,259.4,0,0,250.8,0
"WEEK OF SEP 21, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,493.7,0,0,0,242.9,0,0,250.8,0
"WEEK OF SEP 28, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,1092.6,0,0,0,218.4,0,0,246.8,627.4
"WEEK OF OCT 05, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,708.8,0,0,0,465,0,0,243.8,0
"WEEK OF OCT 12, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,243.8,0,0,0,0,0,0,243.8,0
"WEEK OF OCT 19, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,243.8,0,0,0,0,0,0,243.8,0
"WEEK OF OCT 26, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,1656.5,0,0,0,1209.5,0,0,209,238
"WEEK OF NOV 02, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,380.5,0,0,0,380.5,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Chipotle Mexican Grill : Corporate Promotion,292.6,0,0,0,0,281.6,11,0,0
"WEEK OF NOV 09, 2015 (B)",Chipotle Mexican Grill : Legal Messages,57.4,0,0,0,0,0,57.4,0,0
"WEEK OF NOV 30, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,285,0,0,0,0,0,0,0,285
"WEEK OF DEC 14, 2015 (B)",Chipotle Mexican Grill : Corporate Promotion,1148.7,0,0,0,0,416,732.7,0,0
"WEEK OF DEC 14, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,2.9,0,0,0,0,0,2.9,0,0
"WEEK OF DEC 14, 2015 (B)",Chipotle Mexican Grill : Legal Messages,600.7,0,0,0,0,0,600.7,0,0
"WEEK OF DEC 14, 2015 (B)",Chipotle Mexican Grill : Recruitment,24,0,0,0,0,0,24,0,0
"WEEK OF DEC 28, 2015 (B)",Chipotle Mexican Grill : General Promotion - QSR,236.3,0,0,0,0,0,0,0,236.3
"WEEK OF FEB 01, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,1863.8,0,0,0,0,0,0,387,1476.9
"WEEK OF FEB 08, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,387,0,0,0,0,0,0,387,0
"WEEK OF FEB 15, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,718.5,0,0,0,331.5,0,0,387,0
"WEEK OF FEB 22, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,387,0,0,0,0,0,0,387,0
"WEEK OF FEB 29, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,3058.5,0,0,0,995.4,0,0,161.8,1901.3
"WEEK OF MAR 07, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,124.3,0,0,0,0,0,0,124.3,0
